Company_name,role,year_spent,exp_year,salary_satisfiction,working_hour_satisfiction,team_collaboration,company_premises,values,management_attitude,tech_in_management,good_onboarding_process,kind_of_company,work_in_future,employee_number(approx),hiring_and_firing_rate,experienced_developer_number (2-5 years),client_types,used_tech0logy,numberof_management_people,owner_of_product,company_operation,marketing_expenditure (monthly),projected_customer_number,estimated_valuation,poduct_uniqueness_reason,services,company_operation_technique,mentor/advisor,produce_the_actual_product,any_systematic_method_followed,stage_of_business,having_minimum_viable_product,have_testing_phase,number_of_testers
choukos,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",500 to 999 employees,0,31 to 50 developers,Local,"Angular JS, Mysql, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel",21 to 30 person,,,,,,,"ShopUp is Bangladesh's leading full-stack B2B commerce platform for small businesses (online and offline). We provide easy access to B2B sourcing, last-mile logistics, digital credit and business management solutions to small businesses. ",Venture Capitalist funding,1,1,1,Growth Stage,1,1,0 to 10 
digital khowar,,,,,,,,0,,,,Product Based Company (Having individual or several products),"AI, ML, Data Science",100 to 499 employees,0,11 to 30 developers,Global,"Angular JS, Mysql, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel, Flutter",11 to 20 person,The company itself,Investor funding,21000 - 30000,1,100000,"LightCastle Partners, a company providing market insight, consumer research and industry due diligence, is set to disrupt the traditional market research industry in Bangladesh with its new product, LightCastle Data. ","At LightCastle, we create data-driven opportunities for growth and lasting impact.",Venture Capitalist funding,1,1,1,Idea Stage,0,1,0 to 10 
eco-currency,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,1,11 to 30 developers,Global,"Angular JS, Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,"Bongo is a South Asian OTT and VOD platform, combining an unprecedented content library with state-of-the-art video delivery tech0logy. Bongo also manages a network of YouTube channels and influencers in 5 countries with over 500 Channels under management and 83+ million subscribers in the network and a reach over 210 million unique viewers a month.",Angel Investor,0,1,0,Growth Stage,0,1,0 to 10 
green beans,,,,,,,,0,,,,Product Based Company (Having individual or several products),Data Science,100 to 499 employees,2,0 to 10 developers,Local,"React Js, .Net, MSSQL, java Spring Boot framework, vue js, Laravel",11 to 20 person,Client based,Revenue based,11000 - 20000,0,75000,"Over the years we have been affected by food adulteration 0t k0wing which food is safe to eat or 0t. While the developed countries have moved towards organic food Bangladesh was falling behind. 

Khaas Food started its journey as an online organic grocery store. The company was founded in 2015 and its aim was to provide organic food to the people of Bangladesh.",Khaas Food started its journey as an online organic grocery store. ,Self Funding,1,0,1,Growth Stage,1,0,0 to 10 
khelbei bangladesh,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),Data Science,20 to 99 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, mobile application, Flutter",6 to 10 person,,,,,,,"The main activities of SOLshare are the design, management of manufacturing, and sale of an in0vative charge controller for Solar Homes Systems (SHS) which manages interconnection between multiple users to a decentralized, low voltage DC micro-grid and facilitates electricity trade for households and small businesses in densely populated off-grid villages. ",Self Funding,0,1,1,Growth Stage,1,1,0 to 10 
kothon,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,0,11 to 30 developers,Local,"Angular JS, .Net, Mysql, MSSQL, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,Truck Lagbe is a tech0logy platform optimising how Bangladesh books truck. It connects businesses and customers to the right drivers and fleet owners for their hauling needs.,Angel Investor,1,1,1,Profit Stage,1,1,0 to 10 
landk0ck,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, vue js, Flutter",6 to 10 person,,,,,,,"911 for vehicles. One stop app for vehicle maintenance, troubleshooting and paperwork, including emergency roadside help all over Bangladesh.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
pilu,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,0,11 to 30 developers,Local,"React Js, Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,"SureCash is the fastest growing Fintech Company in Bangladesh. Starting its services in 2014, it has created an open payment network in partnership with 5 local banks, including one of the largest state banks and more than 650 payment partners. ",Revenue Based,0,1,1,Growth Stage,1,0,21 to 30 
provashi,,,,,,,,0,,,,Both,"ML, Data Science",100 to 499 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, java Spring Boot framework, vue js, Flutter",21 to 30 person,Client based,Investor funding,11000 - 20000,1,250000,"Sindabad.com is a supplier of office products . It offers B2B platform for buying office goods like stationary supplies, computer and IT hardware, safety and security equipment, electrical & electronic items, house keeping items etc. It claims to deliver product within 4 days of order. ",Sindabad.com Ltd. is a business-to-business (B2B) e-commerce company that provides one stop purchasing solutions. We bring the best of products at the best value right to your office doorstep.,Angel Investor,1,0,0,Profit Stage,1,0,0 to 10 
radassist,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, java Spring Boot framework, vue js, Laravel, Firebase",0 to 5 person,,,,,,,HandyMama is the pioneering web and mobile based On-demand Maintenance Services Platform of Bangladesh,Venture Capitalist funding,0,1,1,Growth Stage,on process,1,0 to 10 
scientiko.com,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",100 to 499 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, mobile application, Laravel, Flutter",21 to 30 person,,,,,,,"Obhai is a ride-sharing app enabling passengers to select a Car, Microbus, Motorbike, and CNG Auto-rickshaw upon specifying the “destination”",Revenue Based,0,1,1,Profit Stage,1,1,11 to 20 
vobon,,,,,,,,0,,,,Product Based Company (Having individual or several products),"ML, Data Science",20 to 99 employees,1,0 to 10 developers,Local,"React Js, Angular JS, .Net, Django Python, MSSQL, mobile application, Firebase",6 to 10 person,Client based,Investor funding,21000 - 30000,0,300000,"Bagdoom.com is online horizontal marketplace. It sells apparels, T-shirts, electronics, computers, smartphones, watches, sunglasses, perfume, shoes etc. It offers cash on delivery and also accepts payments through major payment services. ","Bagdoom.com has been designed with splendid experience of purchasing online with more fun and more exciting Bagdoom.com has arrived with more convenience, ease and better experience of online shopping. ",Angel Investor,0,1,1,Profit Stage,1,1,0 to 10 
